track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,ax,ay
P0,76,7607.607607607608,pedestrian,-35.46949413587108,32.35237500310035,-4.102944146277136,-1.999125557248984,-0.1088841214012703,-0.1616551302891636
P0,77,7707.707707707707,pedestrian,-35.8828690748307,32.15241381012463,-4.113928435261996,-2.016752893315413,-0.1095632618472553,-0.1732086959007345
P0,78,7807.807807807808,pedestrian,-36.30341333043208,31.94180867016294,-4.1252120893422,-2.039473040878081,-0.1117679284390952,-0.2107145759746827
P0,79,7907.907907907908,pedestrian,-36.77933388936246,31.67579174170608,-4.135658828836353,-2.07180291532972,-0.1074248982099887,-0.2765555337480768
P0,80,8008.008008008008,pedestrian,-37.22827086957995,31.416219197841432,-4.123035449687031,-2.099667485229625,0.0105488067860681,-0.2774706599663394
P0,81,8108.108108108108,pedestrian,-37.52249709370921,31.24953311344752,-4.0559611320179405,-2.0954629497900648,0.3073804661595763,-0.1336850782160709
P0,82,8208.208208208209,pedestrian,-37.85265693970773,31.07109668660797,-3.9621090914129664,-2.064736244615725,0.5691160628967251,0.0493237862144856
P0,83,8308.308308308307,pedestrian,-38.219823599758726,30.892191099161952,-3.866055372785417,-2.016297794789944,0.7236226990529978,0.2212871773902421
P0,84,8408.408408408408,pedestrian,-38.59449391989815,30.71770914583478,-3.7710131282851567,-1.9564382559426672,0.8109202697243127,0.3668967979474847
P0,85,8508.508508508508,pedestrian,-38.94269960694656,30.557577803266344,-3.668953767948132,-1.88853414223003,0.8909810361459496,0.4864070927554016
P0,86,8608.608608608609,pedestrian,-39.20195983104857,30.434910618204096,-3.5555874037558723,-1.8173884908621991,0.9837432850358692,0.5725597950031317
P1,644,64464.46446446447,pedestrian,-2.47169020989347,66.99441380262247,0.2268000233324708,-0.4789102286745789,0.4636599363790042,-1.3392656208242202
P1,645,64564.56456456457,pedestrian,-2.442542205946811,66.93023326714406,0.2751529446247607,-0.619337609722759,0.4791685342437827,-1.390148753501898
P1,646,64664.66466466467,pedestrian,-2.382865187712114,66.77787073433173,0.3303420555533631,-0.7821942746628292,0.5295134780634575,-1.5553286413526732
P1,647,64764.76476476477,pedestrian,-2.299702574556572,66.59263170796714,0.3949512399660947,-0.9785247783701768,0.59750771314523,-1.793455165825938
P1,648,64864.86486486487,pedestrian,-2.221687717920929,66.38192458445623,0.4604315955625073,-1.2014278578419642,0.6261210946582538,-2.012369078778116
P1,649,64964.964964964965,pedestrian,-2.1502952259068144,66.15238104629002,0.5136417355711013,-1.4289331211492982,0.5835661878166811,-2.1295710781163555
P1,650,65065.06506506507,pedestrian,-2.103410583062941,65.92114178168379,0.5451065602527372,-1.6364858368975357,0.4717483622310578,-2.106263518497904
P1,651,65165.16516516517,pedestrian,-2.048021331811392,65.70361780763268,0.5589777933649533,-1.8101856616869116,0.3399099368393384,-1.959456607394168
P1,652,65265.26526526527,pedestrian,-1.9953062274130804,65.48730835434506,0.5576924710312309,-1.9517522670205527,0.203561311248041,-1.748717970713601
P1,653,65365.36536536537,pedestrian,-1.97906648034486,65.25490954315704,0.5430126186464669,-2.068941911422423,0.0691833773034897,-1.526939927282552
P1,654,65465.465465465466,pedestrian,-1.946848478915106,65.01540333897178,0.5296239448626516,-2.1657012084973384,-0.0087503977799693,-1.3117618468554475
P1,655,65565.56556556557,pedestrian,-1.8669104122846925,64.77036060683368,0.5262751430829868,-2.24464275300859,-0.0182718453162609,-1.1101352429360345
P1,656,65665.66566566567,pedestrian,-1.8136241972955327,64.51952411565684,0.5233020601429283,-2.307277789801504,-0.0226924022061245,-0.9227767749682514
P1,657,65765.76576576577,pedestrian,-1.7708418848267926,64.27675996297889,0.5201273980891609,-2.353373544184888,-0.0261904900875681,-0.7435468723825287
P1,658,65865.86586586587,pedestrian,-1.734388645162721,64.02995249235904,0.5202558548855878,-2.3858022300973505,-0.0155250623536123,-0.5806625844332538
P1,659,65965.96596596597,pedestrian,-1.678234959101042,63.78367201348215,0.5307115778989475,-2.40576154888338,0.0310731868342526,-0.4325812145489824
P1,660,66066.06606606607,pedestrian,-1.6097256201351535,63.549009425217335,0.5527906626650225,-2.413942876096386,0.1046755218183794,-0.2963079280806855
P1,661,66166.16616616616,pedestrian,-1.5186942592689006,63.30847425573039,0.5846737456266017,-2.414680454275085,0.1877212911036171,-0.1840950576297694
P1,662,66266.26626626626,pedestrian,-1.4531912642571614,63.07609266290975,0.6170625978372402,-2.4094043008693857,0.2404697229492074,-0.09214332508636
P1,663,66366.36636636636,pedestrian,-1.3669344033455972,62.84518835723103,0.6513351975711623,-2.401848926046738,0.2800386452642176,-0.0270626465055261
P1,664,66466.46646646646,pedestrian,-1.2727855799420145,62.59642455792193,0.6824733355765061,-2.395996815032312,0.2920860798830141,0.0061411802768611
P1,665,66566.56656656656,pedestrian,-1.1921055001295262,62.36402283330194,0.7025787456563731,-2.388514579526179,0.2566673030480936,0.0327757555104168
P1,666,66666.66666666667,pedestrian,-1.1055436043136762,62.13138875498666,0.7081565011139407,-2.3814994477180367,0.1786561060647607,0.0472584854489036
P1,667,66766.76676676677,pedestrian,-1.0507599259550064,61.88728851404756,0.6918657166770146,-2.37691101087738,0.0461167260398485,0.0467072097258232
P1,668,66866.86686686687,pedestrian,-1.0406306161942436,61.65038420490412,0.655830091930494,-2.372131865529257,-0.1115460578468612,0.0471095856884104
P1,669,66966.96696696697,pedestrian,-1.0152464183044057,61.41541129372801,0.6178930638736877,-2.366766423502973,-0.2153751812373366,0.0496296324906822
