track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,ax,ay
P1,412,41241.241241241245,pedestrian,-14.392152664677326,33.91478402719753,-0.31206675296197695,-0.7404883203974001,-0.12038801317420098,-0.014065833005694748
P1,413,41341.341341341344,pedestrian,-14.427479298982213,33.8449062212694,-0.32384705587570156,-0.7433790083857154,-0.11822578352132665,-0.02591554500375607
P1,414,41441.44144144144,pedestrian,-14.470732706954468,33.77410227102058,-0.3346742480006117,-0.7514930491916575,-0.11120662348195207,-0.06438279330197769
P1,415,41541.54154154155,pedestrian,-14.511278875226871,33.68270289662957,-0.3415781782072153,-0.7716033509236936,-0.0864350138591313,-0.14445120625236743
P1,416,41641.64164164165,pedestrian,-14.543569058354977,33.57463803347586,-0.33986694222383745,-0.806695427592624,-0.034134581094914435,-0.24857626028699556
P1,417,41741.741741741745,pedestrian,-14.56565325954313,33.45199558709601,-0.3269118988779429,-0.8506441798504882,0.039476792094715316,-0.33430185172486837
P1,418,41841.841841841844,pedestrian,-14.580174498745272,33.344578388442166,-0.3049455603200638,-0.8884546302400876,0.11422075551016185,-0.3523369585102959
P1,419,41941.94194194194,pedestrian,-14.591703524150356,33.25659885980689,-0.2794580817515595,-0.9114421949097633,0.16977719829968407,-0.3037876213150846
P1,420,42042.04204204204,pedestrian,-14.61045699144389,33.17480932863295,-0.25597075543845427,-0.9213361241062243,0.1948480037680852,-0.22456932483946496
P1,421,42142.14214214214,pedestrian,-14.62820154523178,33.097603621018585,-0.23567104718906784,-0.9232872482256235,0.1978969423359688,-0.145880353780744
P1,422,42242.24224224224,pedestrian,-14.64842834139873,33.005180865955566,-0.21916787673904942,-0.9241710932684577,0.18521229939396805,-0.09324863902634375
P1,423,42342.342342342345,pedestrian,-14.672679423245254,32.90828062965931,-0.2056030820832042,-0.9249000214254911,0.16605696335457099,-0.06011544022300795
P1,424,42442.44244244244,pedestrian,-14.68621357571279,32.80858813861034,-0.19198689828314877,-0.9243461759785527,0.1544415926433681,-0.034724254377092825
P1,425,42542.54254254254,pedestrian,-14.701243385331336,32.720213400284536,-0.17876935492931456,-0.9196932458142383,0.1457575706676324,-0.00323960968646915
P1,426,42642.64264264264,pedestrian,-14.716625195565006,32.63744107268932,-0.1654191714698794,-0.9116785310553086,0.14094801941822824,0.029100346475881222
P1,427,42742.74274274275,pedestrian,-14.726913083094903,32.55156335669502,-0.150646608159902,-0.9028117889944836,0.14352300697493786,0.05220121274338449
P1,428,42842.842842842845,pedestrian,-14.732461349972327,32.46192863610467,-0.13436685619787223,-0.8941957525650573,0.15094617369512178,0.06535779545901166
P1,429,42942.942942942944,pedestrian,-14.734412685688243,32.365323422967435,-0.1176958777060969,-0.885064413907806,0.15700340348457484,0.07540247479200965
P1,430,43043.04304304304,pedestrian,-14.735086525302032,32.27752568044587,-0.10272525280269779,-0.8710569629220009,0.15411176215048986,0.10046045452881207
P1,431,43143.14314314315,pedestrian,-14.736437966915952,32.20619242488606,-0.09192997975495323,-0.8496654308998036,0.13614815730612892,0.14442735038175425
P1,432,43243.24324324325,pedestrian,-14.742096490181112,32.14401787438025,-0.08778029137948931,-0.8233130615701345,0.09938517937058672,0.19056232236518425
P1,433,43343.343343343346,pedestrian,-14.756136751424338,32.07415716689108,-0.09172574139398564,-0.7971173645475819,0.04549971680484019,0.21817768071013385
P1,434,43443.44344344345,pedestrian,-14.777531847804475,31.99581920989,-0.10282349500693089,-0.7726346302235438,-0.015204895797470822,0.22842858223460497
P1,435,43543.54354354355,pedestrian,-14.802023379832356,31.92094399839738,-0.11804845791235902,-0.7470310233466629,-0.06834956334876771,0.23904701579289842
P1,436,43643.64364364365,pedestrian,-14.823267250415295,31.858041412580363,-0.1337270502508672,-0.7170906027391528,-0.1026218386328162,0.2623629073571056
P1,437,43743.74374374375,pedestrian,-14.847078918423978,31.808114539292724,-0.14785713975077894,-0.6823772577397099,-0.11758320854330996,0.29513829446799134
P1,438,43843.843843843846,pedestrian,-14.872713703592462,31.766698790565076,-0.15774855960336542,-0.6459437818802715,-0.11029698303925681,0.3218608243933364
P1,439,43943.943943943945,pedestrian,-14.89605229233236,31.723377876237638,-0.15973730587790716,-0.6132024915908452,-0.07518973783290307,0.3238891868566282
P1,440,44044.04404404404,pedestrian,-14.907821231148706,31.67137683456863,-0.15003000384839177,-0.5885098889747985,-0.008350131015628315,0.2939140391631856
P1,441,44144.14414414414,pedestrian,-14.906244277865483,31.60297600010475,-0.12767525605203808,-0.5728175100764618,0.08159231400799377,0.24066961432380693
P1,442,44244.24424424425,pedestrian,-14.901069868543495,31.557692992806228,-0.09509716860308344,-0.5603830746267515,0.1762667441638027,0.19546058350947187
P1,443,44344.34434434435,pedestrian,-14.88886281716714,31.508809658228692,-0.054239217277888156,-0.5539023931117162,0.26629849113769666,0.1447119458654029
P1,444,44444.444444444445,pedestrian,-14.865493534812952,31.45232756824512,-0.0075778648513931054,-0.5555074257688634,0.34388527192610246,0.08230573858984506
P1,445,44544.544544544544,pedestrian,-14.83945311623721,31.393978149609513,0.04014537557977545,-0.5654381181278194,0.395469102042121,0.011837151779555632
P1,446,44644.64464464465,pedestrian,-14.817492552008375,31.33143473746608,0.08472553024980442,-0.5844727130993442,0.4148364985562851,-0.06658211128629378
P1,447,44744.74474474475,pedestrian,-14.793497056908855,31.259789793502623,0.12491767765903572,-0.6135548273484266,0.4096664860013115,-0.15352509829469316
P1,448,44844.84484484485,pedestrian,-14.767556406859645,31.16899758175981,0.16003300011108507,-0.6523054353045847,0.3868136662371466,-0.24421264888469243
